                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.1"                                 "CRMATH"                               "20241208"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             log_star_age                             log_center_T                           log_center_Rho                             log_center_P                                Pc_scaled 
                                       1                                      435                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1118165876964490E-004                  9.9997427888944312E-001                  2.4676779435246321E-002                  6.0035866540514805E-003                  2.4435794627767932E-004                  9.9997427888944312E-001                  2.4676779435246321E-002                  6.0035866540514805E-003                  2.4435794627767932E-004                 -2.1538187433620966E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538187433620966E+001                 -2.1538187433620966E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6468098577528401E+000                  4.0982947254269826E+000                  2.2781808080723085E+000                  7.8479599815045953E-001                 -3.6975554628342205E-002                  8.6897401472085338E+000                 -4.9528172119490996E+000                  5.4773086588247271E+000                  5.9253538382063464E-001                  8.7985426035237346E-001                  1.2198718649594935E+000                  7.5969999999999993E-001                  2.4017443788575954E-001                  1.7234416803928863E-005                  4.6902638225742491E-005                  1.7234416803928873E-005                  4.6902638225742505E-005                  6.0775999999999994E+000                  1.9213955030860761E+000                                        0                                        2                 -4.9999999999999991E+000                  5.4773086588247271E+000                 -4.9528172119490996E+000                  8.6897401472085338E+000                  8.8014428749307017E-001 
                                       2                                      435                  2.1999999999999999E-005                 -4.9208187539523749E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1116502401935049E-004                  9.9997427888944312E-001                  2.4676755797806156E-002                  6.0035866540513140E-003                  2.4439671464201985E-004                  9.9997427888944312E-001                  2.4676755797806156E-002                  6.0035866540513140E-003                  2.4439671464201985E-004                 -2.1538187009811221E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538187009811221E+001                 -2.1538187009811221E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6468055754913249E+000                  4.0982767195523175E+000                  2.2781803696580063E+000                  7.8479687497906392E-001                 -4.9976781004914025E-002                  8.6897402265937025E+000                 -4.9528171555083826E+000                  5.4773086813041187E+000                  5.9253538382029369E-001                  8.7985426035237357E-001                  1.2198718649594940E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742505E-005                  6.0776000000000012E+000                  1.9213955030860763E+000                                        0                                        2                 -4.6575773191777934E+000                  5.4773086813041187E+000                 -4.9528171555083826E+000                  8.6897402265937025E+000                  8.8014089440797871E-001 
                                       4                                      435                  5.3680000000000008E-005                 -4.7624562618571247E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1111966083670139E-004                  9.9997427888944312E-001                  2.4676694383262712E-002                  6.0035866540510772E-003                  2.4450070058527060E-004                  9.9997427888944312E-001                  2.4676694383262712E-002                  6.0035866540510772E-003                  2.4450070058527060E-004                 -2.1538185882114689E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1538185882114689E+001                 -2.1538185882114689E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6467938906910158E+000                  4.0982276219797615E+000                  2.2781791904723456E+000                  7.8479923335038504E-001                 -5.1009021640679747E-002                  8.6897404371241862E+000                 -4.9528170061999504E+000                  5.4773087412368344E+000                  5.9253538381937643E-001                  8.7985426035237357E-001                  1.2198718649594940E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742505E-005                  6.0776000000000021E+000                  1.9213955030860763E+000                                        0                                        2                 -4.2701874928390637E+000                  5.4773087412368344E+000                 -4.9528170061999504E+000                  8.6897404371241862E+000                  8.8013176216893374E-001 
                                       6                                      435                  9.9299200000000013E-005                 -4.6040937697618753E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1105056234016288E-004                  9.9997427888944312E-001                  2.4676608360198020E-002                  6.0035866540508699E-003                  2.4465464788442777E-004                  9.9997427888944312E-001                  2.4676608360198020E-002                  6.0035866540508699E-003                  2.4465464788442777E-004                 -2.1538184253668060E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538184253668060E+001                 -2.1538184253668060E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6467769724444152E+000                  4.0981565760508802E+000                  2.2781775040011061E+000                  7.8480260629286447E-001                 -5.0349285647838589E-002                  8.6897407401284621E+000                 -4.9528167923542554E+000                  5.4773088283828999E+000                  5.9253538381802073E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742498E-005                  6.0775999999999994E+000                  1.9213955030860761E+000                                        0                                        2                 -4.0030542503665023E+000                  5.4773088283828999E+000                 -4.9528167923542554E+000                  8.6897407401284621E+000                  8.8011870526376390E-001 
                                       8                                      435                  1.6499084799999998E-004                 -4.4457312776666260E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1094294839611395E-004                  9.9997427888944312E-001                  2.4676489160967530E-002                  6.0035866540507441E-003                  2.4488517106465509E-004                  9.9997427888944312E-001                  2.4676489160967530E-002                  6.0035866540507441E-003                  2.4488517106465509E-004                 -2.1538181913979219E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538181913979219E+001                 -2.1538181913979219E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6467531253036718E+000                  4.0980564868865734E+000                  2.2781751537004404E+000                  7.8480730689419531E-001                 -4.8439272123975356E-002                  8.6897411740595807E+000                 -4.9528164875616429E+000                  5.4773089544209697E+000                  5.9253538381602966E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575962E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742498E-005                  6.0776000000000012E+000                  1.9213955030860761E+000                                        0                                        2                 -3.7825401453214456E+000                  5.4773089544209697E+000                 -4.9528164875616429E+000                  8.6897411740595807E+000                  8.8010053284327283E-001 
                                      10                                      435                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1077030434405157E-004                  9.9997427888944312E-001                  2.4676326321794249E-002                  6.0035866540505368E-003                  2.4523578917084587E-004                  9.9997427888944312E-001                  2.4676326321794249E-002                  6.0035866540505368E-003                  2.4523578917084587E-004                 -2.1538178567089524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538178567089524E+001                 -2.1538178567089524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6467203651609443E+000                  4.0979190755720065E+000                  2.2781719683286115E+000                  7.8481367763785348E-001                 -4.5276759676973331E-002                  8.6897417925204063E+000                 -4.9528160563441599E+000                  5.4773091367669364E+000                  5.9253538381308279E-001                  8.7985426035237357E-001                  1.2198718649594940E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928876E-005                  4.6902638225742498E-005                  6.0775999999999994E+000                  1.9213955030860761E+000                                        0                                        2                 -3.5857173598691521E+000                  5.4773091367669364E+000                 -4.9528160563441599E+000                  8.6897417925204063E+000                  8.8007596579578884E-001 
                                      12                                      435                  3.9580502241279986E-004                 -4.1290062934761265E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.1048242645638594E-004                  9.9997427888944312E-001                  2.4676107819828277E-002                  6.0035866540503000E-003                  2.4578036335204791E-004                  9.9997427888944312E-001                  2.4676107819828277E-002                  6.0035866540503000E-003                  2.4578036335204791E-004                 -2.1538173798610199E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538173798610199E+001                 -2.1538173798610199E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466765956440574E+000                  4.0977356471186575E+000                  2.2781677931357098E+000                  7.8482202802365642E-001                 -4.0858289102864834E-002                  8.6897426696621451E+000                 -4.9528154502577664E+000                  5.4773094000519800E+000                  5.9253538380871573E-001                  8.7985426035237357E-001                  1.2198718649594940E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742505E-005                  6.0776000000000012E+000                  1.9213955030860761E+000                                        0                                        2                 -3.4025186992849381E+000                  5.4773094000519800E+000                 -4.9528154502577664E+000                  8.6897426696621451E+000                  8.8004390058836934E-001 
                                      14                                      433                  5.9195923227443176E-004                 -3.9706438013808771E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.0997848293876085E-004                  9.9997427888944312E-001                  2.4675820788530936E-002                  6.0035866540499817E-003                  2.4664966616146750E-004                  9.9997427888944312E-001                  2.4675820788530936E-002                  6.0035866540499817E-003                  2.4664966616146750E-004                 -2.1538166868941197E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538166868941197E+001                 -2.1538166868941197E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466121313298401E+000                  4.0974660388555346E+000                  2.2781619176325840E+000                  7.8483377902990870E-001                 -3.7852479230074086E-002                  8.6897439307927122E+000                 -4.9528145895464277E+000                  5.4773097876931356E+000                  5.9253538380207071E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575962E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742505E-005                  6.0775999999999994E+000                  1.9213955030860761E+000                                        0                                        2                 -3.2277082017363892E+000                  5.4773097876931356E+000                 -4.9528145895464277E+000                  8.6897439307927122E+000                  8.7999883335372842E-001 
                                      16                                      433                  8.7442129447518177E-004                 -3.8122813092856274E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  3.0904296263133845E-004                  9.9997427888944312E-001                  2.4675452200149835E-002                  6.0035866540498559E-003                  2.4808591403901022E-004                  9.9997427888944312E-001                  2.4675452200149835E-002                  6.0035866540498559E-003                  2.4808591403901022E-004                 -2.1538157281632049E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1538157281632049E+001                 -2.1538157281632049E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6465411599612096E+000                  4.0971697162033660E+000                  2.2781556990437610E+000                  7.8484621620755413E-001                 -2.8196431053598883E-002                  8.6897456697267632E+000                 -4.9528134148106622E+000                  5.4773103324604913E+000                  5.9253538379249571E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575960E-001                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.7234416803928873E-005                  4.6902638225742505E-005                  6.0776000000000012E+000                  1.9213955030860761E+000                                        0                                        2                 -3.0582792747083327E+000                  5.4773103324604913E+000                 -4.9528134148106622E+000                  8.6897456697267632E+000                  8.7995195594155351E-001 
