                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.1"                                 "CRMATH"                               "20241203"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             log_star_age                             log_center_T                           log_center_Rho                             log_center_P                                Pc_scaled 
                                       1                                      554                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6559205498693729E-005                  8.8273695256937690E-001                  1.9571224155116418E-001                  9.9999731680733805E-001                  9.5031071972220738E-001                  8.8273695256937690E-001                  1.9571224155116418E-001                  9.9999731680733805E-001                  9.5031071972220738E-001                 -2.0882487241370082E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487241370082E+001                 -2.0882487241370082E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6091851530328949E+000                  2.3234182815492614E+000                  1.4659919955733378E+000                  1.5060836361564574E+000                 -1.1029319627642852E-001                  1.0310485578487427E+001                 -3.2897233092283118E+000                  5.4770706547876005E+000                  6.2256615049158481E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000062E-001                  2.7997020236474895E-001                                        0                                        2                 -4.9999999999999991E+000                  5.4770706547876005E+000                 -3.2897233092283118E+000                  1.0310485578487427E+001                  1.3265512397691654E+000 
                                       2                                      554                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6548628392349088E-005                  8.8273695256937690E-001                  1.9571224123443304E-001                  9.9999731680733805E-001                  9.5031071972161574E-001                  8.8273695256937690E-001                  1.9571224123443304E-001                  9.9999731680733805E-001                  9.5031071972161574E-001                 -2.0882487242852573E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487242852573E+001                 -2.0882487242852573E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6091118867253682E+000                  2.3231133055094983E+000                  1.4659860401685096E+000                  1.5060955469661139E+000                 -1.1322584957458015E-001                  1.0310485585483127E+001                 -3.2897233048549968E+000                  5.4770706573916046E+000                  6.2256615048649155E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        2                 -4.6575773191777934E+000                  5.4770706573916046E+000                 -3.2897233048549968E+000                  1.0310485585483127E+001                  1.3264785000645318E+000 
                                       4                                      554                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6520403983205510E-005                  8.8273695256937690E-001                  1.9571224047695773E-001                  9.9999731680733805E-001                  9.5031071972004177E-001                  8.8273695256937690E-001                  1.9571224047695773E-001                  9.9999731680733805E-001                  9.5031071972004177E-001                 -2.0882487245508962E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487245508962E+001                 -2.0882487245508962E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6089182248648193E+000                  2.3223073870459867E+000                  1.4659704046578521E+000                  1.5061268179874288E+000                 -1.1238984757959392E-001                  1.0310485603806898E+001                 -3.2897232934069969E+000                  5.4770706642191014E+000                  6.2256615047313013E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        2                 -4.2701874928390637E+000                  5.4770706642191014E+000                 -3.2897232934069969E+000                  1.0310485603806898E+001                  1.3262875457638532E+000 
                                       6                                      554                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6479010146175145E-005                  8.8273695256937690E-001                  1.9571223955353703E-001                  9.9999731680733805E-001                  9.5031071971774750E-001                  8.8273695256937690E-001                  1.9571223955353703E-001                  9.9999731680733805E-001                  9.5031071971774750E-001                 -2.0882487246673353E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487246673353E+001                 -2.0882487246673353E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6086430475220448E+000                  2.3211622085258785E+000                  1.4659481700833463E+000                  1.5061712871364401E+000                 -1.1087325275034057E-001                  1.0310485629775917E+001                 -3.2897232771981342E+000                  5.4770706739105410E+000                  6.2256615045414587E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        2                 -4.0030542503665023E+000                  5.4770706739105410E+000                 -3.2897232771981342E+000                  1.0310485629775917E+001                  1.3260160450903562E+000 
                                       8                                      554                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6417826388214882E-005                  8.8273695256937690E-001                  1.9571223848173658E-001                  9.9999731680733805E-001                  9.5031071971438963E-001                  8.8273695256937690E-001                  1.9571223848173658E-001                  9.9999731680733805E-001                  9.5031071971438963E-001                 -2.0882487243423707E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487243423707E+001                 -2.0882487243423707E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6082571074026291E+000                  2.3195556346641810E+000                  1.4659167633913293E+000                  1.5062341005204742E+000                 -1.0862898938450892E-001                  1.0310485666305885E+001                 -3.2897232544267498E+000                  5.4770706875718993E+000                  6.2256615042735208E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        2                 -3.7825401453214456E+000                  5.4770706875718993E+000                 -3.2897232544267498E+000                  1.0310485666305885E+001                  1.3256326402794385E+000 
                                      10                                      554                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6326418449718250E-005                  8.8273695256937690E-001                  1.9571223731561507E-001                  9.9999731680733805E-001                  9.5031071970944714E-001                  8.8273695256937690E-001                  1.9571223731561507E-001                  9.9999731680733805E-001                  9.5031071970944714E-001                 -2.0882487229455773E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487229455773E+001                 -2.0882487229455773E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6077231400279484E+000                  2.3173317841972234E+000                  1.4658727729072121E+000                  1.5063220814887091E+000                 -1.0550694396065868E-001                  1.0310485717208202E+001                 -3.2897232227505278E+000                  5.4770707066614603E+000                  6.2256615038985075E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        2                 -3.5857173598691521E+000                  5.4770707066614603E+000                 -3.2897232227505278E+000                  1.0310485717208202E+001                  1.3250958013435605E+000 
                                      12                                      555                  3.9580502241279986E-004                 -4.1290062934761265E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.6187823502171993E-005                  8.8273695256937690E-001                  1.9571223612966257E-001                  9.9999731680733805E-001                  9.5031071970212921E-001                  8.8273695256937690E-001                  1.9571223612966257E-001                  9.9999731680733805E-001                  9.5031071970212921E-001                 -2.0882487192053031E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487192053031E+001                 -2.0882487192053031E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6069958786015763E+000                  2.3143007861057412E+000                  1.4658117967142152E+000                  1.5064440338747027E+000                 -1.0141395401402496E-001                  1.0310485787297516E+001                 -3.2897231792326189E+000                  5.4770707330429786E+000                  6.2256615033791374E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        3                 -3.4025186992849381E+000                  5.4770707330429786E+000                 -3.2897231792326189E+000                  1.0310485787297516E+001                  1.3243520349795150E+000 
                                      14                                      554                  5.9195923227443176E-004                 -3.9706438013808771E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.5973534882407978E-005                  8.8273695256937712E-001                  1.9571223500208085E-001                  9.9999731680733805E-001                  9.5031071969122527E-001                  8.8273695256937712E-001                  1.9571223500208085E-001                  9.9999731680733805E-001                  9.5031071969122527E-001                 -2.0882487106349398E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882487106349398E+001                 -2.0882487106349398E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6060169690057724E+000                  2.3102182918206235E+000                  1.4657283687632645E+000                  1.5066108897766042E+000                 -9.6215947377856714E-002                  1.0310485882514946E+001                 -3.2897231202849047E+000                  5.4770707690514202E+000                  6.2256615026683126E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        3                 -3.2277082017363892E+000                  5.4770707690514202E+000                 -3.2897231202849047E+000                  1.0310485882514946E+001                  1.3233350841180354E+000 
                                      16                                      555                  8.7442129447518177E-004                 -3.8122813092856274E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.5633523917646707E-005                  8.8273695256937712E-001                  1.9571223398660834E-001                  9.9999716997963550E-001                  9.5031071967488645E-001                  8.8273695256937712E-001                  1.9571223398660834E-001                  9.9999716997963550E-001                  9.5031071967488645E-001                 -2.0882486933647122E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882486933647122E+001                 -2.0882486933647122E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6047663978445437E+000                  2.3049933439994290E+000                  1.4656170371751240E+000                  1.5068335529528847E+000                 -8.8563868143039681E-002                  1.0310486009100195E+001                 -3.2897230421867878E+000                  5.4770708171860134E+000                  6.2256615017151040E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  7.0000000000000051E-001                  2.7997020236474895E-001                                        0                                        3                 -3.0582792747083327E+000                  5.4770708171860134E+000                 -3.2897230421867878E+000                  1.0310486009100195E+001                  1.3219792147065519E+000 
