                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.1"                                 "CRMATH"                               "20241208"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             log_star_age                             log_center_T                           log_center_Rho                             log_center_P                           center_entropy                                   radius                                 center_T 
                                       1                                      588                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1542704265039706E-005                  8.0861529893320450E-001                  9.9315818185407523E-002                  9.9999974019421589E-001                  9.0563202553931321E-001                  8.0861529893320450E-001                  9.9315818185407523E-002                  9.9999974019421589E-001                  9.0563202553931321E-001                 -2.0351452929396469E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452929396469E+001                 -2.0351452929396469E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5596721372850806E+000                  1.1080622554212594E+000                  9.5734001400496649E-001                  2.0005088540128626E+000                 -1.2794264302382428E-002                  1.1330058546651378E+001                 -2.2627162206655274E+000                  5.4773295389224526E+000                  6.2365562138631536E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -4.9999999999999991E+000                  5.4773295389224526E+000                 -2.2627162206655274E+000                  1.1330058546651378E+001                  2.1631902045598988E+001                  9.0644198673366567E+000                  3.0014391213693813E+005 
                                       2                                      588                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1542262495283795E-005                  8.0861529893320450E-001                  9.9315818185258531E-002                  9.9999974019421589E-001                  9.0563202553929711E-001                  8.0861529893320450E-001                  9.9315818185258531E-002                  9.9999974019421589E-001                  9.0563202553929711E-001                 -2.0351452911458800E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452911458800E+001                 -2.0351452911458800E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5596498864007029E+000                  1.1079694586585285E+000                  9.5733811739235464E-001                  2.0005126472380863E+000                 -1.2937940881482321E-002                  1.1330058550753268E+001                 -2.2627162181929275E+000                  5.4773295405186992E+000                  6.2365562137381669E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -4.6575773191777934E+000                  5.4773295405186992E+000                 -2.2627162181929275E+000                  1.1330058550753268E+001                  2.1631902045527827E+001                  9.0643802820869777E+000                  3.0014391324011574E+005 
                                       4                                      588                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1541110884167242E-005                  8.0861529893320450E-001                  9.9315818184867885E-002                  9.9999974019421589E-001                  9.0563202553925437E-001                  8.0861529893320450E-001                  9.9315818184867885E-002                  9.9999974019421589E-001                  9.0563202553925437E-001                 -2.0351452863901855E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452863901855E+001                 -2.0351452863901855E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5595915942834107E+000                  1.1077263711121799E+000                  9.5733315785376549E-001                  2.0005225663152642E+000                 -1.2775339849106730E-002                  1.1330058561533477E+001                 -2.2627162116950701E+000                  5.4773295447141930E+000                  6.2365562134096353E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -4.2701874928390637E+000                  5.4773295447141930E+000                 -2.2627162116950701E+000                  1.1330058561533477E+001                  2.1631902045344688E+001                  9.0642767696340663E+000                  3.0014391613965016E+005 
                                       6                                      588                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1539428048472951E-005                  8.0861529893320450E-001                  9.9315818184311552E-002                  9.9999974019421589E-001                  9.0563202553919275E-001                  8.0861529893320450E-001                  9.9315818184311552E-002                  9.9999974019421589E-001                  9.0563202553919275E-001                 -2.0351452794958149E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452794958149E+001                 -2.0351452794958149E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5595092910785149E+000                  1.1073831305334982E+000                  9.5732614397421723E-001                  2.0005365940743607E+000                 -1.2530353804375992E-002                  1.1330058576933347E+001                 -2.2627162024136434E+000                  5.4773295507085136E+000                  6.2365562129401930E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -4.0030542503665023E+000                  5.4773295507085136E+000                 -2.2627162024136434E+000                  1.1330058576933347E+001                  2.1631902045091771E+001                  9.0641303822523920E+000                  3.0014392028236645E+005 
                                       8                                      588                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1536932449470998E-005                  8.0861529893320450E-001                  9.9315818183521878E-002                  9.9999974019421589E-001                  9.0563202553910371E-001                  8.0861529893320450E-001                  9.9315818183521878E-002                  9.9999974019421589E-001                  9.0563202553910371E-001                 -2.0351452694810160E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452694810160E+001                 -2.0351452694810160E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5593942736477531E+000                  1.1069033800927672E+000                  9.5731630361537423E-001                  2.0005562747920469E+000                 -1.2187675107483729E-002                  1.1330058598865156E+001                 -2.2627161891973295E+000                  5.4773295592471340E+000                  6.2365562122713991E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -3.7825401453214456E+000                  5.4773295592471340E+000                 -2.2627161891973295E+000                  1.1330058598865156E+001                  2.1631902044748930E+001                  9.0639250071237836E+000                  3.0014392618346628E+005 
                                      10                                      588                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1533192472833332E-005                  8.0861529893320450E-001                  9.9315818182405632E-002                  9.9999974019421589E-001                  9.0297822327988841E-001                  8.0861529893320450E-001                  9.9315818182405632E-002                  9.9999974019421589E-001                  9.0297822327988841E-001                 -2.0351452548996974E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452548996974E+001                 -2.0351452548996974E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5592355951185950E+000                  1.1062413483173463E+000                  9.5730264478597971E-001                  2.0005835924508362E+000                 -1.1721159490813725E-002                  1.1330058629979359E+001                 -2.2627161704511409E+000                  5.4773295713640486E+000                  6.2365562113221440E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -3.5857173598691521E+000                  5.4773295713640486E+000                 -2.2627161704511409E+000                  1.1330058629979359E+001                  2.1631902044295121E+001                  9.0636399455730103E+000                  3.0014393455754977E+005 
                                      12                                      588                  3.9580502241279986E-004                 -4.1290062934761265E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1527506443785478E-005                  8.0861529893320450E-001                  9.3301387972601707E-002                  9.9999974019421589E-001                  9.0297822327775334E-001                  8.0861529893320450E-001                  9.3301387972601707E-002                  9.9999974019421589E-001                  9.0297822327775334E-001                 -2.0351452336218770E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452336218770E+001                 -2.0351452336218770E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5590203755101415E+000                  1.1053430943044211E+000                  9.5728395699642421E-001                  2.0006209680299469E+000                 -1.1102570638884710E-002                  1.1330058673917035E+001                 -2.2627161439852430E+000                  5.4773295884809157E+000                  6.2365562099808514E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -3.4025186992849381E+000                  5.4773295884809157E+000                 -2.2627161439852430E+000                  1.1330058673917035E+001                  2.1631902043713428E+001                  9.0632499434919289E+000                  3.0014394638713601E+005 
                                      14                                      588                  5.9195923227443176E-004                 -3.9706438013808771E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1518686473309389E-005                  8.0861529893320450E-001                  9.3301386754544871E-002                  9.9999974019421589E-001                  9.0297822327727040E-001                  8.0861529893320450E-001                  9.3301386754544871E-002                  9.9999974019421589E-001                  9.0297822327727040E-001                 -2.0351452025263551E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351452025263551E+001                 -2.0351452025263551E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5587349366536838E+000                  1.1041511689045829E+000                  9.5725887200942017E-001                  2.0006711380039550E+000                 -1.0307770819969989E-002                  1.1330058735649638E+001                 -2.2627161068115988E+000                  5.4773296125406707E+000                  6.2365562080949277E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -3.2277082017363892E+000                  5.4773296125406707E+000                 -2.2627161068115988E+000                  1.1330058735649638E+001                  2.1631902042998167E+001                  9.0627264624192936E+000                  3.0014396301500103E+005 
                                      16                                      586                  8.7442129447518177E-004                 -3.8122813092856274E+000                  2.9999999999999999E-001                  3.2775627165080330E+001                 -9.8999999999999986E+001                  1.1504632904058718E-005                  8.0861529893320450E-001                  9.3301386722923499E-002                  9.9999974019421589E-001                  9.0025756007683655E-001                  8.0861529893320450E-001                  9.3301386722923499E-002                  9.9999974019421589E-001                  9.0025756007683655E-001                 -2.0351451345677603E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0351451345677603E+001                 -2.0351451345677603E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5583671738882363E+000                  1.1026142370675860E+000                  9.5722593162181746E-001                  2.0007370187791604E+000                 -9.3733506493704852E-003                  1.1330058852738677E+001                 -2.2627160363603900E+000                  5.4773296582288067E+000                  6.2365562045106859E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  2.0999999999999999E-001                  8.3991060709424706E-002                                        0                                        5                 -3.0582792747083327E+000                  5.4773296582288067E+000                 -2.2627160363603900E+000                  1.1330058852738677E+001                  2.1631902042163862E+001                  9.0620390983985963E+000                  3.0014399459039385E+005 
